,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
49,-256.3690481374508,523.0705178177036,-120.34461033105013,-1195.3337220483606,68.46318535259651,2941.639663776389,-1059.1483424248916,-7767.337961311642,185.0166968430894,4014.9891208097974
50,422.00160079918203,-2215.921167589794,489.27950331019235,2857.2444641764546,-354.2522413767938,-5349.225565340125,4712.531692912091,17122.51462218772,-3056.401871813532,-13036.643624949951
51,1083.0340564471178,-3149.3286494624685,863.7347546380074,5376.665367428307,-3.6324129788201045,-9568.207417194857,5384.456149567962,26705.82981758541,204.46708308993666,-17739.633335964565
52,269.87420129635973,-796.4354703618568,56.9211124729644,73.65635868000344,362.804738900794,-1756.2418387514865,-215.73663499316712,-1084.322192939238,3663.4797331751633,2244.584446645
53,74.60905675712515,-148.2566555699619,44.787784693033764,240.94633698140964,-7.8766691228620624,-731.2757367613946,398.4375395928916,1785.8096859247432,-44.40736890173056,-1499.217031635328
54,906.6677131894613,-2581.8365412021967,724.276919159352,5727.426515772192,-75.2422210479925,-9043.35997084386,5742.121449715825,27547.051887618734,1192.2174415414415,-16523.947082499213
55,125.00595186254921,-616.9294821822964,52.155389668949866,555.3069029516394,11.463185352596504,-1178.360336223611,365.35165757510856,1224.6620386883576,771.3916968430893,-465.01087919020244
56,-1360.4997635087568,4478.696781238703,-1186.7215164372597,-7334.825959321476,170.7886495788061,13721.061391449815,-9516.361312382585,-39931.50806309995,836.736635872291,24735.83303514636
57,-188.48621309929098,1091.1544813091411,-222.9136972910431,-957.5748350458698,16.048206421194394,2177.4191024290926,-1647.2190299922672,-6864.719186478043,492.7821151838764,3321.5859284836997
58,687.7370359224557,-2109.060594695083,566.0736820704718,3589.1042442064313,-26.844520184711943,-6832.391387417396,5630.6502510504915,20171.93342006735,1064.5884498649284,-12194.168288226625
59,299.5059518625492,-1332.9294821822964,196.28038966894988,938.6662779516394,-23.411814647403496,-1600.360336223611,1173.6016575751084,3496.662038688358,862.8916968430893,234.98912080979756
60,-29.994048137450793,38.07051781770362,-67.34461033105013,-19.05247204836064,-18.536814647403496,444.639663776389,-438.89834242489144,-463.3379613116423,-128.7333031569106,770.9891208097976
61,349.6854873715702,-1018.4280242801008,275.4491539213657,2206.344268121522,-131.95810378862748,-3398.8203161157467,764.929364561649,10456.773109350925,-1016.203580289242,-7045.989836720627
