,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Water_ONO_PercTotaal_BK,-0.0031736789843185265,0.0033352778825036502,-0.005625386090238841,-0.00014004360584934458,-0.026940235239253145,0.03778545921450126,0.002097506214213545,-0.03571343560447602,0.10434747900810368,-0.026780231289455537,0.09869105845931316,-0.09692984539897813,0.18381442733433623,0.10508584398801443,0.06430295346328409,0.1760429186730892,-0.11208319837382034,-0.16488210635959336,-0.04744103717475682,0.12549626712658937,0.4777043317875262,-0.08247570824013596,-0.08492723804648052,-0.07132798328024127,-0.06973974440608849,-0.02834673250983457,0.08157787143666902,0.05113370623855959,-0.0989839527777713
Oppervlakte_Land_ONO_m2_BK,-0.04160383673406194,-0.03174600603220734,0.008877477156183197,-0.004780357858511418,0.022831943794158812,0.15409342994845807,0.17492833875387406,-0.11568309922833268,-0.10459835156078273,-0.1719523975787607,0.03213595516913031,0.0738982980998954,-0.04471895237970515,-0.03314687243944802,0.06335005275901093,-0.059405592125807254,-0.05798074728153709,0.022249207604103743,-0.02474648991485602,-0.019824572996634718,-0.01061990383873505,0.010436775038242686,0.002100594975910308,-0.01865080206204677,-0.008740507590345788,0.014787569862607573,0.009236653912875053,-0.018389235940857583,-0.033799487401401866
Oppervlakte_Water_ONO_m2_BK,-0.03525890631828188,-0.02454960368654238,0.004073420891451771,-0.007923761980765841,0.004322707666805089,0.1466991403203587,0.15445263968338063,-0.10596393016113133,-0.002270789506703704,-0.169022855356882,0.10338407630331979,0.004731042093937189,0.04183175194407564,0.03248299510715668,0.02907136403636445,-0.007715413981564075,-0.04569856111532516,-0.045787437073803804,-0.00944100019385723,-0.021696648086506284,0.025808677682059536,-0.009819460949567356,0.06343739505534476,0.01748298894489312,-0.06603495262423413,0.04621376639226488,0.05536071407618902,0.01965535337850107,0.006133631652264673
Openbaar_percland,-0.08119230332296631,-0.057199936770001424,-0.009734508163835365,0.007636000846661764,-0.0470660675822747,0.08261857003363837,0.04543121887396659,0.15235159291845404,-0.017261585775896815,0.006614188513491564,0.0728841792588418,-0.03645520190633791,0.09255603648104677,0.035276719863351035,-0.06291025788643444,0.06645960397382532,0.04693960940640129,-0.04014788053697547,0.07901772721703501,-0.08411457232328251,-0.03245832385113722,-0.0034811237619506614,-0.027556934907969916,0.05657126493024063,-0.04471811666849286,-0.01345972637126621,0.01759413045035114,-0.0016794652324311598,0.05301855125208349
Nietopenbaar_percland,0.09591043289919518,0.06639851387308023,0.006379940168493354,0.026619172264533,0.04594833710504923,-0.05027178006441139,-0.020170563679696094,-0.11034310877951621,0.008370671192538407,0.014540809417141937,-0.02074632554400632,0.03663857359332416,-0.08149913908134616,-0.020913832455245696,0.03033145101708913,-0.07336712831096379,0.0004057342347571315,0.03682220170131249,-0.04544535318408593,0.07163460345541561,0.030600654762305852,0.004796229947977145,-0.0019111787850262226,-0.0384050676069794,0.044576934859906964,-0.0007164668033082134,0.0023481513902124133,-0.018140038464910968,-0.0393224071257486
Onverhard_agr_percland,0.09810844648345414,0.06855514552276326,0.0026544949319826957,0.060891662937269164,0.018747129718563137,-0.021517411632962082,-0.053544922685199045,-0.05537784651552356,-0.025783090888214493,0.012241051801265541,0.04487701744744184,0.048040418101083636,-0.05882427402871057,-0.04371945036890628,0.02825557927028574,-0.04709012616500477,-0.0029507140025112405,-0.012336356847539509,0.02510659053598965,0.03244329001294879,0.0438230435762923,0.0034298068109732656,-0.034019414976827055,-0.040559198657335635,0.06361037963906428,-0.014685172405339151,0.029847514716003744,0.003812933701744389,-0.017457088342410314
Onverhard_agr_percland_BK,0.037385538913816616,0.04594639183721917,-0.01848402354832132,0.09584206704427221,-0.015287965204147873,-0.045655504284374565,-0.028195428212930043,-0.013844193367330662,-0.06877312989385172,-0.005588353713121679,0.043456639728499766,-0.12982289215018655,-0.13000111720052773,-0.19297050552336484,0.26197532425130593,0.08078183955929487,0.006063529397796657,-0.11632125746382496,0.04847856085029015,0.04459967679303343,-0.05265452463865306,-0.004680237228502236,0.07979499403115609,0.10561818636476704,-0.037524319201145545,-0.06561410861145477,0.07615305738968518,-0.03947657253718917,0.06897542186388092
Shape_Area_BK,0.056661242132545905,0.04329128666060915,-0.014106585631610857,0.05580236731266142,-0.07474029714961875,0.19553165865181682,-0.12194080956152024,0.028496792459383278,-0.06497921501956971,-0.010705577480993635,-0.0891398621529935,-0.039568346513486743,-0.027786391851633015,0.032922540682501215,-0.040700925450794546,0.024993510881771,0.0455923838414544,-0.020190168821540583,-0.059679745997021416,0.022567912814521238,-0.0009478750637095014,-0.007866343510977147,-0.006723639666116627,0.007864415887544557,0.007674812787414896,0.029130835837603845,-0.012944220805013552,0.005784062172743273,-0.008825782924530637
Groen_NietOpenbaar_PercNO_BK,0.01264465160109222,0.01940158406716779,-0.015111065088847457,0.06345941814247177,-0.03735599358836848,0.012168961877768147,-0.019279347452669283,0.07166371482660833,0.07197361900048828,-0.04877999460306582,0.09003043956543849,-0.02146841208852236,-0.02150818288134462,0.1005803556130628,-0.0015430293482797286,-0.02182194684945308,-0.14939723942372765,0.19992326327249096,0.04559221536303833,-0.014959698325986358,-0.0121944418073115,-0.051612054064453614,-0.06439557333408072,-0.08848502613836368,0.3518473082305658,0.07966520795619664,-0.16075707652149296,0.0011607495631193118,0.10775193205291288
Steen_NietOpenbaar_PercNO_BK,-0.038880712567137876,-0.04774213939608988,0.018579205844144263,-0.09251891463825583,0.016966903721450297,0.027816707223122978,0.028773509210353168,-0.04676021630942212,0.005625099369711972,0.014872473695936205,-0.08585872597667113,0.16075024817731653,0.10580426449204172,0.11984766130672345,-0.22580087161272927,-0.08140264809641888,0.08202794559048752,-0.011717644741245448,0.014168223875731238,-0.012094043073745543,0.008273838885091325,0.028540576019665212,0.02982752945717153,-0.010050836856814044,-0.08753282335394054,0.025725712889051174,0.051027051111680155,0.08757350255355624,-0.09723508236485026
