,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
Oppervlakte_Openbaar_m2,0.02243167802437935,-0.04966357286787572,-0.0070103059999973615,0.030213728221587435,-0.07116520520937653,0.6708041969967707,0.04257117624310321,-0.12418407352522617,-0.08119114563856258,0.4032725860910787
Oppervlakte_NietOpenbaar_m2,-0.05620760567874832,-0.39106031011272113,-0.05793502376416086,-0.0810963600816045,-0.09280548719855618,0.7385526293302238,-0.024655705608746598,0.11811541167942706,0.10986112792236866,-0.22654821162015126
Groen_PerInwoner_m2,-0.04169259452095337,-0.05442464326503762,-0.019369715134703536,0.02426131569893146,-0.11039635305831463,0.375569980296573,-0.07640109448895258,-0.12397973892683352,-0.01585513676154978,0.4075857549497033
Groen_PercLand,0.09153794737744071,0.23044244314774756,0.0013890888724664339,0.6561825481473402,0.084046406711474,-0.07337173907255107,0.15234845979833367,-0.28068064942299853,0.08007474607131282,0.4326121905786642
Groen_Openbaar_PercOpenbaar,-0.14049038638296257,-0.5835430621193728,0.01677248653211932,0.24177192263009217,-0.04881781538660063,0.09490209979922291,-0.11424204878864506,-0.05565874953554748,0.16365544863136539,-0.16976534936006749
Groen_NietOpenbaar_PercNO,0.038807559738057835,0.30037300127302236,-0.01544347931370049,0.4443200038520952,0.029127490916413017,-0.07051580261422845,0.08022653890211746,-0.09708870391423445,0.032132672268227386,0.5244148885175544
Steen_PercLand,0.12071875668739256,0.8132459061955437,-0.034354515835229325,0.16784200389989887,0.09888335920518805,-0.2679714361780696,0.22594590462610506,-0.09828308407063928,-0.04962364199873745,0.09152881885548121
Steen_Openbaar_PercOpenbaar,0.10029875861415435,0.8088330598904416,-0.024797126740728308,-0.0493865210460588,0.10741746600665801,-0.2835906723126567,0.07938514251935928,0.0985570980095669,-0.1027711519829732,-0.011252663268622135
Steen_NietOpenbaar_PercNO,0.10104208170870266,0.8256613079111185,-0.05776345226396054,0.18262979668493573,0.05315286652078851,-0.16769140999315346,0.20267942292502955,-0.05080454858734926,0.011348095193026701,0.05330242518083314
Water_VSK_PercTotaal,-0.13734789368695496,-0.08212304771654678,-0.02221248618032354,-0.1061045694963249,0.007876988810802028,0.002068917782009064,0.14305663418395254,0.024967877052457985,0.8460094065665039,0.0967843863240986
Gras_PercLand,0.03681707743510663,0.12881719381781898,-0.023628337103225913,0.0908259970265554,0.029236857256971557,0.038673372630589724,0.16776712144134187,-0.36783609695825714,0.2474393044731851,0.4562430021125574
Struiken_PercLand,0.09645006158229258,0.4701201328924,-0.0012079534009358352,0.48324108557980316,0.08470577165038906,-0.19194320738256299,0.1672709663171369,-0.2418086478302001,0.06737641889846639,0.16653016533101242
Onverhard_PercLand,0.1068010311519017,0.1076183297835209,-0.019732706972108188,0.6647367687982326,0.041944152074071435,-0.11971922968634557,0.08474397658434055,-0.12904022294895412,-0.16170311462334283,0.4412863613889874
Halfverhard_PercLand,0.07021869574945053,0.2614064247848068,-0.031385247142220636,0.09122543671977736,0.033866600280846176,-0.06048965253970746,0.1774448835447943,-0.046552755812575494,0.0541355815825734,0.12520763594179177
Verhard_PercLand,0.12077220017502338,0.8132335699307188,-0.03419043332794355,0.16777530457439255,0.09884509295557017,-0.26810631478491076,0.2255254173420409,-0.09770548959548486,-0.051517194635878935,0.09161184355470323
Gebouwen_VSK_PercLand,0.12421638677231091,0.8614259592809821,-0.03884232436686186,0.13979091810548197,0.0655713055900523,-0.2059686866244077,0.1123969920651902,0.18111412852580028,-0.01949636821341105,0.05981920749376961
Agrarisch_PercLand,-0.1708704599717394,-0.6930836625934563,-0.021481610673570427,-0.3849269269870306,-0.13006693475437434,0.2835053762933011,-0.18131474459220082,0.15319044809781376,0.05455563767186332,-0.3401019623258675
Oppervlakte_Land_ONO_m2,-0.03032992047306854,-0.32980735720587734,-0.04295178530770396,-0.05249046783809373,-0.0998252258411298,0.8993782550218419,0.008951365599313553,0.037094592295226075,0.043534580285083585,0.0068970816531007855
Oppervlakte_Water_ONO_m2,-0.09930210551897317,-0.19884749131051832,-0.0288245961893686,-0.07835225225508485,-0.05601828641492521,0.4627737816164226,0.0016058082163793086,0.016971409332152396,0.6026160411284555,0.02515118756829743
Gebouwen_ONO_PercLand,0.12430282301193764,0.860582305419375,-0.039080045472210584,0.1390250594085336,0.0651145781826884,-0.20586622475916178,0.1125723292937159,0.18042596713789047,-0.017907575079290413,0.0598604172777892
Water_ONO_PercTotaal,-0.14879680666737394,-0.09963459682986066,-0.02523729521880901,-0.09977203504426702,-0.012324047117399541,0.025584888130026368,0.11858159999764428,0.00842023762954519,0.8532577179319968,0.08804000915269677
Oppervlakte_Totaal_m2_BK,0.02859116617285438,0.19051593196024366,0.04021532885638738,0.09843790313231453,0.08515893378473821,-0.027892039473916923,0.9351921023719206,-0.045194834834706425,-0.014142221105664604,0.02403018891595504
Oppervlakte_Land_VSK_m2_BK,0.029353161885154747,0.1897536005997045,0.039033700053703074,0.0988269104844251,0.08546799070917967,-0.025272825115848798,0.9278118157373563,-0.04611724220109096,-0.025838422115711277,0.023781304422982135
