Buurtcode,score,thema,methode,thema_kort
BU19405101,0.1429557874704112,Woningmarkt_Eigendom,entropy,Woningmarkt
GM0072,0.2667988499761413,Woningmarkt_Eigendom,entropy,Woningmarkt
WK007200,0.2725043107951262,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00720001,0.35337478344847406,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00720002,0.20644942166103292,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00720003,0.4939242734987556,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00720004,0.1936102272504725,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00720005,0.12529177249134044,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00720006,0.30005296535481757,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00720007,0.11638414861184306,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00720009,0.14812794449346467,Woningmarkt_Eigendom,entropy,Woningmarkt
WK007201,0.15718401846427216,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00720100,0.17134281329306758,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00720109,0.10453395345997696,Woningmarkt_Eigendom,entropy,Woningmarkt
WK007202,0.15483242970123443,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00720200,0.16430583511919444,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00720209,0.1318020570199593,Woningmarkt_Eigendom,entropy,Woningmarkt
GM0074,0.2691423551847621,Woningmarkt_Eigendom,entropy,Woningmarkt
WK007401,0.32041523698780977,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740100,0.313403582697686,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740101,0.5505479359555945,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740102,0.41048949051462635,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740103,0.25366512933940183,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740104,0.2564612958640572,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00740105,0.14075350020884608,Woningmarkt_Eigendom,entropy,Woningmarkt
